Date,Code,Open,High,Low,Close
2022-01-04,0000,2015.61,2031.65,2005.45,2030.22
2022-01-04,0001,7666.04,7680.67,7637.17,7676.54
2022-01-04,0028,999.01,1013.77,996.57,1013.46
2022-01-04,0029,2029.67,2039.84,2015.91,2038.02
2022-01-04,002A,1341.25,1355.64,1335.87,1355.01
2022-01-04,002B,2142.11,2152.25,2126.73,2149.92
2022-01-04,002C,1569.24,1583.05,1561.51,1581.93
2022-01-04,002D,2374.05,2374.05,2352.49,2370.75
2022-01-04,002E,1906.08,1921.8,1896.54,1920.39
2022-01-04,002F,1051.47,1051.47,1041.56,1049.49
2022-01-04,0040,455.56,457.27,452.06,456.12
2022-01-04,0041,295.01,295.28,289.93,290.59
2022-01-04,0042,1144.31,1146.42,1132.68,1145.07
2022-01-04,0043,1700.94,1708.78,1692.45,1708.61
2022-01-04,0044,587.4,591.68,582,590.94
2022-01-04,0045,497.57,497.57,490.63,491.79
2022-01-04,0046,2298.1,2316.55,2281.18,2313.32
2022-01-04,0047,3011.97,3029.56,2986.78,3027.37
2022-01-04,0048,1006.56,1009.13,1002.67,1004.49
2022-01-04,0049,3432.57,3435.07,3400.05,3422.04
2022-01-04,004A,1198.03,1198.03,1188.53,1192.45
2022-01-04,004B,440.42,443.02,436.77,442.7
2022-01-04,004C,968.24,984.15,965.84,981.03
2022-01-04,004D,1347.54,1356.26,1338.72,1352.01
2022-01-04,004E,2338.63,2353.42,2317.72,2350.84
2022-01-04,004F,4160.54,4208.69,4152.24,4204.66
2022-01-04,0050,3528.06,3619.6,3522.96,3616.29
2022-01-04,0051,11393.91,11510.77,11313.26,11507.25
2022-01-04,0052,3571.75,3589.02,3542.32,3583.87
2022-01-04,0053,328.26,328.26,324.37,326.79
2022-01-04,0054,1767.69,1767.69,1742.96,1762.21
2022-01-04,0055,995.92,1044.33,995.92,1044.33
2022-01-04,0056,190.86,190.86,187.33,188.57
2022-01-04,0057,1855.1,1857.87,1842.36,1857.87
2022-01-04,0058,4721.66,4723.44,4683.08,4719.18
2022-01-04,0059,1966.95,1972.74,1949.84,1972.52
2022-01-04,005A,1301.69,1308.7,1293.47,1307.29
2022-01-04,005B,147.2,149.32,146.52,149.2
2022-01-04,005C,385.99,388.95,383.77,387.89
2022-01-04,005D,1139.72,1170.55,1138.51,1169
2022-01-04,005E,746.9,747.68,738.53,746.55
2022-01-04,005F,1393.59,1393.67,1367.73,1389.52
2022-01-04,0060,3076.1,3088.01,3050.17,3082.4
2022-01-04,0070,994.61,995.66,971.94,976.74
2022-01-04,0075,2083.42,2085.67,2061.15,2081.04
2022-01-04,0080,292.02,293.35,290.55,293.31
2022-01-04,0081,115.46,115.46,114.51,114.67
2022-01-04,0082,250.53,250.93,248.4,250.53
2022-01-04,0083,290.62,292.8,288.5,292.39
2022-01-04,0084,232.84,234.2,230.9,234.03
2022-01-04,0085,261.09,267.29,260.66,267.06
2022-01-04,0086,189.22,191.14,188.5,190.93
2022-01-04,0087,460.88,463.8,456.76,463.29
2022-01-04,0088,334.03,337.72,333.26,337.55
2022-01-04,0089,303.93,304.6,301.45,304.23
2022-01-04,008A,54.36,54.36,53.72,54.12
2022-01-04,008B,158.77,159.38,157.39,159.23
2022-01-04,008C,477.93,479.34,473.77,479.28
2022-01-04,008D,226.13,227.34,224.7,227.1
2022-01-04,008E,94.67,96.03,94.23,95.95
2022-01-04,008F,146.84,148.99,146.25,148.88
2022-01-04,0090,291.49,291.51,286.08,290.64
2022-01-04,0091,177.61,177.65,176.8,177.35
2022-01-04,8100,1980.98,1998.97,1971.62,1997.58
2022-01-04,812C,1911.59,1930.37,1902.96,1928.9
2022-01-04,812D,2795.34,2802.25,2776.14,2799.76
2022-01-04,8200,2932.55,2953.11,2916.65,2951.22
2022-01-04,822C,2948.82,2972.45,2933.27,2970.65
2022-01-04,822D,2791.48,2791.48,2760.04,2779.43
2022-01-04,8501,1904.41,1912.64,1885.92,1908.01
2022-01-04,8502,3369.83,3375.36,3345.24,3368.53
2022-01-04,8503,2690.95,2693.16,2655.83,2679.9
