Date,Sector33Code,SellingExcludingShortSellingTurnoverValue,ShortSellingWithRestrictionsTurnoverValue,ShortSellingWithoutRestrictionsTurnoverValue
2022-01-04,0050,976344800.0,528077200.0,47906800.0
2022-01-04,1050,15863607800.0,4144664600.0,2284294700.0
2022-01-04,2050,20647987000.0,14504860200.0,1506551400.0
2022-01-04,3050,35928917200.0,28949419350.0,3142059400.0
2022-01-04,3100,4693963600.0,3655423100.0,536340250.0
2022-01-04,3150,2804527100.0,2384139200.0,146391100.0
2022-01-04,3200,77610059880.0,52447400860.0,7248435320.0
2022-01-04,3250,61075016650.0,31873694850.0,4913387150.0
2022-01-04,3300,3985661280.0,2922096880.0,357240660.0
2022-01-04,3350,5673311700.0,4091613900.0,449764100.0
2022-01-04,3400,10885608100.0,8464427600.0,783335400.0
2022-01-04,3450,14171192650.0,9654885700.0,859898000.0
2022-01-04,3500,22865352350.0,10268951750.0,1170588400.0
2022-01-04,3550,17015034800.0,8379952000.0,1470910900.0
2022-01-04,3600,63618184000.0,45776164850.0,5260067750.0
2022-01-04,3650,455898509050.0,247549676600.0,77937209500.0
2022-01-04,3700,128185235930.0,67301633750.0,12059717090.0
2022-01-04,3750,36652051650.0,14113881700.0,2482916350.0
2022-01-04,3800,33809703500.0,20533683700.0,5393986900.0
2022-01-04,4050,24561093100.0,18920831000.0,2296980400.0
2022-01-04,5050,28879646800.0,25950890900.0,2442753000.0
2022-01-04,5100,137873629300.0,66584060100.0,16684454900.0
2022-01-04,5150,11596155450.0,9437658850.0,1280339250.0
2022-01-04,5200,1765919700.0,1094560000.0,76616100.0
2022-01-04,5250,184825263317.0,100708006202.0,24376119660.0
2022-01-04,6050,49316990700.0,28557807400.0,4338164550.0
2022-01-04,6100,64991847500.0,52682945150.0,10697601000.0
2022-01-04,7050,78135476390.0,44806238170.0,6259866890.0
2022-01-04,7100,9843601220.0,8212852510.0,930596590.0
2022-01-04,7150,21575267550.0,15663623700.0,2384716700.0
2022-01-04,7200,14234633050.0,7395721750.0,997576950.0
2022-01-04,8050,23730855300.0,16598763000.0,1481865500.0
2022-01-04,9050,144032573220.0,61164231590.0,13671655470.0
2022-01-04,9999,189711899419.0,92235523678.0,41455934659.0
